,desc,hed
0,baseline (eyes open),"Agent-action,Experiment-participant,Eyes-open,Participant-response"
1,baseline (eyes closed),"Agent-action,Experiment-participant,Eyes-closed,Participant-response"
2,Task 1 rest ,"Agent-action,Experiment-participant,Participant-response,Rest"
3,onset of the real motion of opening and closing the left fist when target appears on left side of screen,"(Close,Hand,(To-left-of,Torso)),(Open,Hand,(To-left-of,Torso)),Agent-action,Experiment-participant,Participant-response"
4,onset of the real motion of opening and closing the right fist when target appears on right side of screen,"(Close,Hand,(To-right-of,Torso)),(Open,Hand,(To-right-of,Torso)),Agent-action,Experiment-participant,Participant-response"
5,Task 2 rest,"Agent-action,Experiment-participant,Participant-response,Rest"
6,onset of the imagined motion of opening and closing the left fist when target appears on left side of screen,"(Close,Hand,(To-left-of,Torso)),(Open,Hand,(To-left-of,Torso)),Agent-action,Experiment-participant,Imagined-action,Participant-response"
7,onset of the imagined motion of opening and closing the right fist when target appears on right side of screen,"(Close,Hand,(To-right-of,Torso)),(Open,Hand,(To-right-of,Torso)),Agent-action,Experiment-participant,Imagined-action,Participant-response"
8,Task 3 rest,"Agent-action,Experiment-participant,Participant-response,Rest"
9,onset of the real motion of opening and closing both fists when target appears on the top side of screen,"((Open,Hand,(To-left-of,Torso)),(Close,Hand,(To-left-of,Torso))),((Open,Hand,(To-right-of,Torso)),(Close,Hand,(To-right-of,Torso))),Agent-action,Experiment-participant,Participant-response"
10,onset of the real motion of opening and closing both feet when target appears on the bottom side of screen,"((Open,Toes,(To-left-of,Torso)),(Close,Toes,(To-left-of,Torso))),((Open,Toes,(To-right-of,Torso)),(Close,Toes,(To-right-of,Torso))),Agent-action,Experiment-participant,Participant-response"
11,Task 4 rest,"Agent-action,Experiment-participant,Participant-response,Rest"
12,onset of the imagined motion of opening and closing both fists when target appears on the top side of screen,"((Open,Hand,(To-left-of,Torso)),(Close,Hand,(To-left-of,Torso))),((Open,Hand,(To-right-of,Torso)),(Close,Hand,(To-right-of,Torso))),Agent-action,Experiment-participant,Imagined-action,Participant-response"
13,onset of the imagined motion of opening and closing both feet when target appears on the bottom side of screen,"((Open,Toes,(To-left-of,Torso)),(Close,Toes,(To-left-of,Torso))),((Open,Toes,(To-right-of,Torso)),(Close,Toes,(To-right-of,Torso))),Agent-action,Experiment-participant,Imagined-action,Participant-response"
0,Participant should focus only on auditory stimuli,"(Selective-attention, Auditory-presentation)"
1,Participant should focus only on visual stimuli.,"(Selective-attention, Visual-presentation)"
2,An event presentation that should not have been made.,"Sensory-presentation, Mishap"
3,Participant presses a button.,"Participant-response, (Experiment-participant, (Press, Mouse-button))"
4,Presentation of a dark blue square.,"Sensory-presentation, Experimental-stimulus, Visual-presentation, (Square, DarkBlue, (Center-of, Computer-screen))"
5,Auditory and visual presentation of a hear cue.,"Sensory-presentation, (Word, Label/Word-hear), Auditory-presentation, Visual-presentation"
6,Presentation of a 550 Hz tone.,"Sensory-presentation, Experimental-stimulus, Auditory-presentation, (Tone, Frequency/550 Hz)"
7,Presentation of a light blue square.,"Sensory-presentation, Experimental-stimulus, Visual-presentation, (Square, LightBlue, (Center-of, Computer-screen))"
8,Auditory and visual presentation of a look cue.,"Sensory-presentation, (Word, Label/Word-look), Auditory-presentation, Visual-presentation"
9,Presentation of a 500 Hz tone.,"Sensory-presentation, Experimental-stimulus, Auditory-presentation, (Tone, Frequency/500 Hz)"
10,Pause the recording of the experiment.,"Experiment-control, Pause"
11,Indicates that the stimulus should be attended to.,Attend-to
12,Indicates that the stimulus should be ignored.,Label/Ignore
13,Cue indicating participant should focus on auditory stimuli.,"(Cue, Instructional, Focused-attention, Auditory-presentation)"
14,Cue indicating participant should focus on visual stimuli.,"(Cue, Instructional, Focused-attention, Visual-presentation)"
15,Stimulus that is a non-target.,Non-target
16,Stimulus that is designated as the one to be looked for.,"Target, Oddball"
17,A target in the attended to modality has been detected.,"(Detect, Target)"
18,Experimental condition in which participant only pays attention to auditory stimuli.,"(Condition-variable/Auditory-focus, (Focused-attention, Auditory-presentation))"
19,Experimental condition in which participant only pays attention to visual stimuli.,"(Condition-variable/Visual-focus, (Focused-attention, Visual-presentation))"
20,Experimental condition in which participant shifts attention based on instructions.,"(Condition-variable/Shift-focus, (Switch-attention, Auditory-presentation, Visual-presentation))"
0,target digit (3) shown,"(Target,Character/3),Experimental-stimulus,Sensory-event,Visual-presentation"
1,participant response; correct if following non-target,"(Press,Keyboard-key/Spacebar),Agent-action,Experiment-participant,Participant-response"
2,"non-target digit (1, 2, 4, 5, 6, 7, 8, 9) shown","(Non-target,Character),Experimental-stimulus,Sensory-event,Visual-presentation"
0,Start of left perturbation,"(Def/Left-perturb, Onset)"
1,End of left perturbation,"(Def/Left-perturb, Offset)"
2,Start of right perturbation,"(Def/Right-perturb, Onset)"
3,End of right perturbation,"(Def/Right-perturb, Offset)"
4,Start of a left perturbation cued by a sound.,"(Def/Left-perturb, Onset), Def/Cue-sound"
5,End of a left perturbation cued by a sound.,"(Def/Left-perturb, Offset)"
6,Start of a right perturbation cued by a sound.,"(Def/Right-perturb, Onset), Def/Cue-sound"
7,End of a right perturbation cued by a sound.,"(Def/Right-perturb, Onset)"
8,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
9,End driving car forward.,"(Def/Drive-vehicle, Offset)"
10,Beginning of non-cue tone instance.,"(Def/Non-cue-sound, Onset)"
11,Beginning of non-cue tone instance.,"(Def/Non-cue-sound, Offset)"
12,Beginning of a cue tone instance.,"(Def/Cue-sound, Onset)"
13,End of a cue tone instance.,"(Def/Cue-sound, Offset)"
14,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
15,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
16,Start of a trial,"(Def/Trial-marker, Onset)"
17,End of a trial,"(Def/Trial-marker, Offset)"
18,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
19,Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
20,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
21,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
22,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
23,Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
24,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
25,Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
26,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
27,A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))"
28,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
29,A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))"
30,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
31,A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))"
32,Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))"
33,Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))"
34,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
35,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
36,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
37,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
0,Start of left perturbation,"(Def/Left-perturb, Onset)"
1,End of left perturbation,"(Def/Left-perturb, Offset)"
2,Start of right perturbation,"(Def/Right-perturb, Onset)"
3,End of right perturbation,"(Def/Right-perturb, Offset)"
4,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
5,End driving car forward.,"(Def/Drive-vehicle, Offset)"
6,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
7,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
8,Start of a trial,"(Def/Trial-marker, Onset)"
9,End of a trial,"(Def/Trial-marker, Offset)"
10,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
11,Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
12,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
13,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
14,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
15,Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
16,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
17,Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
18,Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
19,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
20,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
21,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
22,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
23,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
